tiempo,rank,max
2.42007,4,6.89535
2.77992,1,
2.76255,3,
2.77513,4,
2.74166,2,
1.62834,2,
1.6931,1,
1.99334,1,
2.65653,3,
2.36172,1,
2.35226,1,
2.07917,1,
2.94402,4,
2.8584,3,
2.92271,3,
2.04388,2,
2.80156,3,
2.72217,4,
2.69565,2,
2.30419,4,
2.3195,3,
2.84185,4,
1.70121,2,
2.02687,1,
2.73588,2,
2.98593,2,
2.65764,3,
2.67717,2,
2.66837,3,
2.83009,3,
2.93189,3,
2.85078,3,
2.39532,3,
2.69435,3,
2.37854,4,
2.90151,2,
2.77871,3,
2.39487,3,
2.98724,4,
2.61363,2,
1.44876,4,
2.90819,1,
2.96151,1,
2.40877,1,
2.35904,3,
2.80023,1,
2.77036,3,
2.16051,3,
2.07905,3,
1.78974,1,
2.70581,4,
2.45883,4,
2.47621,1,
2.69726,3,
2.62667,4,
2.7755,3,
2.90567,3,
2.00567,2,
2.93777,3,
2.5903,3,
2.27678,1,
2.86957,3,
2441,3,
2.6163,1,
2.74293,2,
2.59402,2,
1.71735,2,
2.35883,3,
2.92039,3,
2201,1,
2.84948,2,
2.87263,1,
2.12485,1,
2.76401,2,
2.28131,1,
1.48856,2,
2.22808,1,
2.86815,3,
2.58324,2,
2.68848,3,
2.00502,2,
1.56465,3,
2.84956,1,
2.50855,3,
1.50651,2,
2.62418,3,
2.30032,3,
2.87043,4,
2.4789,4,
2.25436,3,
2.43544,1,
2.32757,3,
2.28371,2,
2.71493,3,
2.92307,4,
2.96571,1,
2.18688,2,
2.34246,1,
2.27874,2,
2.28493,1,
