tiempo,rank,max
2.61957,4,8.55141
1.93447,2,
2.99906,4,
2.58875,2,
2.54894,1,
2.88238,3,
2.91193,2,
2.8368,2,
2.59889,4,
2.32394,4,
2.64177,4,
2.74592,1,
2.76959,4,
1.95503,1,
2.41037,3,
2.49252,1,
2.7725,1,
2.93228,2,
2.74646,2,
1.64031,2,
2.57722,4,
2.46909,1,
2.16018,1,
2.59219,1,
1.61674,4,
2.81628,1,
2.47849,1,
2.88615,2,
2.47249,2,
2.88713,1,
2.79034,4,
2.91861,1,
2.4528,2,
2.78931,4,
2.3852,2,
2.99565,3,
2.66391,1,
2.29704,2,
2.71104,3,
2.61703,3,
2.70355,4,
2.82771,4,
2.5306,4,
2.89961,2,
2.87758,4,
2.72728,3,
1.84321,1,
1.44606,1,
2.98996,2,
2.78426,3,
2.27915,2,
2.76399,1,
2.26906,2,
1.81947,3,
2.37245,1,
1.03957,3,
2.87596,3,
2.78831,2,
2.44401,1,
2.94872,2,
1.75423,1,
2.91431,3,
2.7452,2,
2.77571,2,
2.22519,2,
2.74602,3,
2.07016,3,
2.67562,1,
2.95271,3,
1.80018,1,
2.10637,4,
2.79538,4,
2.54587,3,
2.30169,3,
2.30104,4,
2.69235,1,
2.94258,1,
2.38353,4,
2.8802,2,
1.72944,1,
2.55476,2,
2.80961,3,
2.11925,4,
1.82373,2,
2.8309,1,
2.90853,4,
2.07538,1,
2.02963,4,
2.60964,3,
2.74223,4,
2.63273,1,
2.84225,3,
2.36281,2,
2.8492,4,
2.20539,2,
2.93163,4,
2.54505,4,
2.72519,2,
1.0661,1,
2.92804,2,
