tiempo,rank
3.8754e-05,6
3.7799e-05,6
3.8874e-05,6
3.7354e-05,4
3.8838e-05,6
3.8647e-05,6
3.7971e-05,4
3.8783e-05,6
3.8637e-05,4
3.8782e-05,6
3.7672e-05,6
3.858e-05,6
3.7781e-05,4
3.7262e-05,6
4.2648e-05,6
3.7563e-05,4
3.8965e-05,6
3.7952e-05,4
3.8714e-05,6
3.7665e-05,2
3.8918e-05,6
3.774e-05,4
3.8852e-05,6
3.8713e-05,4
3.8924e-05,6
3.8672e-05,6
3.7841e-05,4
3.8976e-05,6
3.8537e-05,6
3.7949e-05,4
3.8091e-05,6
3.8763e-05,6
3.789e-05,4
3.8842e-05,6
3.8402e-05,6
3.7646e-05,4
3.8842e-05,6
3.8307e-05,4
3.9017e-05,6
