tiempo,rank,max
2.97451,3,8.7974
1.87558,2,
2.28027,3,
2.91339,1,
2.44844,1,
2.05824,2,
2.76528,4,
2.97065,2,
2.75576,1,
2.3113,1,
2.95238,1,
2.99472,4,
2.77807,1,
2.30292,3,
2.48718,4,
2.08616,1,
1.06433,3,
2.71922,3,
2.04466,4,
2.77366,3,
2.83104,1,
2.7563,2,
2861,1,
2.26111,1,
2.99871,2,
2.80313,3,
2.85347,3,
2.26452,2,
2.2791,1,
2.96495,4,
2.85799,1,
2.42431,4,
2.97657,2,
2.98398,3,
2.51967,3,
2.65825,4,
1.41021,2,
2.84193,3,
1.73609,4,
2.96696,3,
2.86612,2,
1.65054,3,
2.85861,3,
2.97817,2,
1.97335,2,
2.68347,4,
2.94175,3,
2.05328,2,
2.93808,3,
2.73829,2,
1.52438,1,
2.87261,1,
2.9529,1,
2.50754,4,
2.83216,2,
2.50946,2,
1.75442,3,
2.97763,3,
2724,4,
2.97656,3,
2.89948,2,
2.81333,3,
2.77394,2,
2.89232,2,
2.79719,3,
1.9876,2,
2.49708,3,
2.46649,4,
2.95693,2,
2.83563,1,
2.65182,4,
2.83932,2,
2.94611,4,
2.89515,2,
2.81739,2,
2.59696,2,
2.53149,4,
2.57241,3,
2.77742,3,
1.83761,2,
2.90229,4,
2.24629,4,
2.19292,3,
1.99677,3,
2.55248,3,
2.34365,1,
2.85145,2,
2.09639,4,
2.36164,2,
2.4585,3,
1.42648,1,
2.75159,1,
2.27171,3,
2.50531,3,
2.71928,4,
2.08516,3,
2.5013,2,
2.81695,4,
2.46532,3,
2.4745,2,
