tiempo,rank,max
2.74668,4,6.90871
2.93496,3,
1.92852,2,
2.51796,3,
2.94682,1,
2839,3,
2.5063,3,
1.17385,3,
1.7655,2,
2.44082,2,
2.72125,1,
2.72171,1,
2.05541,2,
2.68378,3,
1.67596,1,
2.41229,4,
2.53791,4,
2.60964,3,
2.76986,2,
2.45496,2,
2.86388,1,
2.91762,3,
2.27699,3,
2.98506,1,
2.65899,3,
2.26193,1,
2.55672,2,
1.39362,1,
2.15987,3,
2.74304,4,
2.63777,1,
2.77029,3,
2.55127,1,
2.98082,4,
2.45556,1,
2.64857,4,
2.77162,3,
2.1962,2,
2.94058,1,
2.86813,3,
2.45357,1,
2.6781,1,
2.60948,2,
2.54428,1,
2.22897,4,
2.72317,2,
1.8502,4,
2.66206,3,
2.77405,3,
2.09004,4,
2.55694,4,
2.58757,2,
2.12012,2,
2.98218,3,
2.9746,3,
1.74683,4,
1.81174,3,
2.23082,1,
2.2174,4,
2.24462,2,
2.93986,1,
2.94553,3,
2.07385,4,
2.76138,2,
2.89455,3,
2.54614,3,
2.70513,4,
2.77182,4,
2.9422,2,
2.81545,4,
2.8906,4,
1.61175,2,
2.22573,2,
2.90256,1,
2.86611,4,
2.8807,2,
2.90503,2,
2.64116,3,
2.99897,2,
2.97137,2,
2.55133,2,
2.87968,1,
2.7784,3,
1.67593,3,
2.79151,2,
2.76927,3,
2.65704,4,
2.7708,4,
2.47593,4,
2.66414,1,
2.92578,4,
2.03344,2,
2.15406,4,
2.16065,3,
1.81109,2,
2.43086,4,
1.97589,2,
2.42516,1,
2.68364,3,
2.5634,3,
