tiempo,rank,max
1.69405,1,13.0844
2.90964,3,
2.9182,3,
2.95637,5,
2.4305,6,
2.29507,6,
2.85533,1,
2.30981,3,
2.66082,5,
2.56323,6,
2.72117,6,
2.81144,4,
2.83449,4,
2.59324,6,
2.29197,2,
2.79977,4,
2.10433,4,
2857,3,
2.6694,6,
2.24633,2,
2.78336,1,
2.73561,5,
2.80824,6,
2.95749,4,
2.66781,3,
2.6043,6,
2.71648,3,
2.89369,2,
2.94432,2,
2.85971,5,
2.39439,1,
2.78829,6,
2.99093,6,
2.77705,5,
1.63282,4,
2.42065,6,
1.68209,3,
2.99449,5,
2.62903,3,
2.96181,5,
2.95209,2,
2.87226,5,
2.2806,2,
2.25119,4,
2.57409,1,
2.68153,5,
2.05088,4,
2.55366,6,
2.98727,3,
2.13589,2,
2.53343,4,
2.51102,1,
2.91777,4,
1.76201,4,
2.33599,1,
2.89955,1,
2.79423,3,
2.38308,2,
2.15503,5,
2.69678,4,
2.64649,1,
2.6727,4,
2.8088,2,
2.92739,1,
2.33567,1,
2.96106,6,
2.70432,3,
2.92515,3,
2.99412,6,
2.81576,6,
2.79833,6,
2.96488,5,
2.87571,2,
2.11412,4,
2.77363,6,
2.55159,5,
1.87997,1,
2.74011,4,
2.04036,2,
2.56628,2,
2.87605,1,
2.59733,2,
2.94845,6,
2.7454,1,
2.75078,5,
2.97099,1,
2.87694,6,
2.10063,5,
2.79864,5,
2.97533,6,
2.94589,3,
2.41859,6,
2.68472,3,
2.59335,1,
2.69951,6,
2.51411,5,
1.42677,3,
2.43565,2,
2.6586,2,
2.88031,5,
