tiempo,rank,max
2.80321,4,11.32
2.94061,5,
2.87398,3,
2.54567,5,
2.97574,4,
2.42023,2,
2.33917,6,
2.8368,4,
2.68111,1,
2.84651,4,
2.92493,2,
2.91983,1,
2.95306,5,
2.65653,1,
3.00135,2,
2.86716,4,
1.08431,2,
2.7363,4,
2.60413,1,
2.95037,5,
2.64411,2,
1.74628,5,
2.93158,5,
2.5482,1,
2.66266,2,
2.90109,3,
2.69595,4,
2.9814,3,
2.81821,1,
2.38943,5,
2.18032,1,
2.8098,2,
2.52506,3,
2.97773,3,
2.80474,6,
2.08865,2,
2.56527,6,
2.15704,5,
2.84618,5,
2.86611,5,
2.66754,1,
2.67059,3,
2.94601,6,
2.68485,6,
2.57146,2,
2.40754,5,
2.89783,4,
2.70964,1,
2.63007,2,
2.70806,1,
2.75958,6,
2.59277,4,
2.98032,5,
2.80664,1,
2.54417,5,
2.28191,1,
2.17383,1,
1.85079,3,
2.63699,4,
2.22609,4,
2.68187,5,
2.94318,5,
2.34668,1,
2.78683,6,
2.64325,2,
2.39635,5,
2.99215,3,
2.58897,3,
2.56269,2,
2.86022,6,
2.19711,1,
1.77809,5,
2.78819,5,
2.80025,1,
2.55057,2,
2.58513,4,
2.96839,1,
2.97264,3,
2.79225,6,
2.84887,3,
2.9145,4,
2.55159,6,
2.80782,4,
2.8208,3,
2.51598,4,
2.97102,5,
2.71934,6,
2.75923,6,
2.85074,1,
2.93247,2,
2.95015,2,
2.98033,4,
2.77795,1,
2.5292,4,
2.58045,4,
2.83804,1,
2.58402,4,
2.6379,2,
2.31198,6,
2.97928,4,
