tiempo,rank,max
1.86301,6,10.6664
2.90688,5,
2.26622,4,
2.51005,6,
2.72434,6,
2.6046,5,
2.88949,1,
2.18967,4,
2.78262,5,
2.57014,6,
2.82536,1,
2.94741,3,
2.57722,4,
2.70732,1,
2.69416,3,
2.50012,2,
2.97868,5,
1.98029,1,
2.81629,6,
2.94724,5,
2.08567,3,
2.84459,3,
2.25195,3,
2.86988,6,
2.84002,6,
2.69061,5,
2.62045,2,
2.15686,6,
2.71928,6,
2.59957,3,
2.7615,2,
1.80454,4,
2.9731,5,
2.47918,1,
2.37619,3,
2.87811,4,
2.86734,2,
2.7862,3,
2.95711,5,
2.90558,2,
2.95736,4,
2.60384,5,
2.74911,6,
2.57829,6,
2.91512,1,
2.74478,3,
2.67159,4,
2.72275,3,
2.85387,1,
2.79559,4,
2.57084,4,
2.14892,4,
2.91072,3,
2.92546,6,
2.0912,2,
2.88529,2,
2.80839,2,
2.77153,5,
2.37122,4,
2.33116,1,
2.83964,5,
2.70185,3,
2.69747,2,
2.81069,5,
2.83642,4,
2.63487,5,
2.23277,6,
2.92839,4,
2.43813,6,
2.79236,2,
2.81863,6,
2.83343,2,
2.54164,6,
2.5676,6,
2.81836,5,
2.91084,5,
2.96008,3,
2.15412,5,
2.47506,6,
2.62383,5,
2.83635,4,
2.99343,2,
2.94655,5,
2.91573,1,
3,5,
2.35475,3,
2.84789,6,
2.37959,3,
2.78288,1,
2.94921,5,
2.57055,6,
2.12884,3,
2.71757,2,
2.80465,6,
2.77735,4,
2.91281,3,
2.17835,3,
2.66928,1,
2.99997,5,
2.69398,5,
