tiempo,rank,max
2.8235,3,11.3057
2.9479,6,
2.96365,1,
2.84498,2,
2.96908,5,
2.4443,4,
2.55208,6,
2.92477,1,
2.87931,6,
2.03785,1,
2.96796,3,
2.78575,6,
2.14926,2,
2.70851,3,
2.91422,6,
2.9331,4,
2.63544,5,
2.60741,4,
2.19893,5,
2.58718,5,
2.96382,2,
2.98855,6,
2.79094,5,
1.69196,5,
2.40807,3,
2.79008,5,
2.96955,5,
2.70162,1,
2.90326,1,
2.89896,3,
2.5932,1,
2.78533,6,
2.94449,3,
2.65625,3,
2.96721,3,
2.60482,6,
2.82382,4,
2.94595,6,
2.32135,4,
2.64891,6,
2.34968,3,
2.32935,1,
2.4345,6,
2.76468,3,
1.77838,4,
2.94188,4,
2.4564,6,
2.91621,6,
2.56117,4,
2.77014,6,
2.92525,5,
2.79385,1,
2.77245,6,
2.71191,5,
2.1542,3,
2.92992,5,
2.52141,3,
2.89585,4,
2.72723,3,
2.94139,2,
2.94867,1,
2.76198,6,
2.50878,4,
2.05757,1,
2.96204,1,
2.95853,1,
1.98277,4,
2.79448,4,
2.56293,3,
2.4791,5,
2.96031,3,
2.63555,6,
2.89547,2,
2.7709,6,
2.87026,5,
2.91673,3,
2.89087,2,
2.90382,3,
2.96678,1,
2.80634,5,
2.21348,1,
2.94065,3,
2.75754,6,
2.6984,4,
2.93355,6,
2.51803,3,
2.39545,6,
2.71295,5,
2.82832,2,
2.72627,4,
2.90354,3,
2.84408,4,
2.92138,1,
2.18307,2,
2.4177,1,
2.91643,2,
2.81111,5,
2.87433,1,
2.99287,5,
2.97057,2,
