tiempo,rank,max
2.91336,5,12.7617
2.47979,6,
2.57177,2,
2.89825,5,
2.93941,2,
2.81023,3,
2.94352,6,
1.96849,3,
2.33361,6,
2.72953,2,
2.89473,2,
2.79511,1,
2.23572,4,
2.60874,2,
2.90374,1,
2.51363,2,
2.59738,5,
2.82267,3,
2.55148,3,
2.87885,2,
2.71616,1,
2.40793,1,
2.87134,2,
2.84563,5,
2.87426,3,
2.91508,5,
2.73546,1,
2.42887,2,
2.8702,2,
2.92527,5,
2.81067,5,
2.77421,3,
2.41256,2,
2.84293,3,
2.44736,6,
2.78809,1,
2.65192,3,
2.9908,1,
2.86681,4,
2.55573,1,
2.89826,4,
2.68643,5,
2.97464,6,
2.70905,3,
2.27989,6,
2.4682,2,
2.54724,6,
2.97505,2,
2.82503,5,
2.59613,5,
2.92742,3,
2.55705,2,
2.64033,4,
2.74117,2,
2.98726,2,
2.4166,2,
2.72353,3,
2.48454,2,
2.59112,4,
2.7856,6,
2.97649,3,
2.38175,6,
2.51417,3,
2.60335,6,
2.98164,1,
2.7389,4,
2.80738,3,
2.11812,5,
2.49199,6,
2.53175,5,
2.85627,1,
2.94539,6,
2.82806,1,
2.90244,4,
1.96841,1,
2.80103,5,
2.9769,2,
2.80195,2,
2.97631,5,
2.94992,3,
2.77986,3,
2.67009,5,
2.78861,4,
2.92385,5,
2.19946,2,
2.75998,5,
2.61541,2,
2.93957,3,
1.37222,3,
2.67103,5,
2.68096,3,
2.76809,1,
2.54337,3,
2.37154,1,
2.76317,4,
2.62453,5,
2.09974,6,
2.41059,6,
2.80611,1,
2.76992,2,
