tiempo,rank,max
2.63719,4,10.9018
1.49165,4,
2.94mpiexec: Forwarding signal 18 to job
5,
2.87848,1,
2.65812,1,
2.6457,4,
2.72395,1,
2.67551,5,
2.93741,4,
2.96279,1,
1.95551,3,
2.9475,5,
2.89652,5,
2.65756,1,
2.41196,4,
2.42728,1,
2.78092,3,
2.6166,1,
2.12932,2,
2.83778,4,
2.49253,3,
1.87928,4,
2.21875,4,
2.97879,2,
2.45986,1,
2.65049,2,
2.08281,2,
2.58404,4,
2.87034,5,
2.54905,3,
2.53069,4,
2.50154,3,
2.65448,5,
2.71943,2,
2.46555,5,
1.55626,3,
2.12756,2,
2.68137,3,
2.43609,3,
2.18599,3,
2.98527,3,
1.44314,5,
1.98109,3,
2.4679,5,
2.74306,1,
2.41896,1,
1.53857,3,
2.86072,4,
2.67343,2,
2.95461,4,
2.69834,4,
2.97642,4,
2.96221,1,
2.87058,2,
2.77705,1,
2.73489,3,
2.57828,1,
2.92604,2,
2.96795,3,
2.64753,1,
2.26741,3,
1.63227,4,
2.94654,2,
2.76458,5,
2.63809,4,
2.55435,1,
2.4123,3,
2.67061,2,
2.50653,5,
2.87887,1,
2.48555,1,
2.78054,2,
2.9717,1,
2.6771,4,
1.55727,5,
2.70724,1,
1.99423,1,
2.58081,3,
2.16271,2,
2.40194,4,
1.93964,5,
2.98486,3,
2.89051,5,
2.88628,4,
2.86393,1,
2.33321,5,
2.94753,2,
2.44651,1,
2.49795,1,
2.65512,1,
2.70546,3,
2.42046,3,
2.95087,1,
2.88235,4,
1.89949,5,
2.6915,3,
2.73136,2,
