tiempo,rank,max
2.96249,2,5.70567
2.9164,3,
2.4471,2,
2.72233,4,
2.9766,5,
1.72002,2,
2.32874,4,
2.8251,1,
2.94746,2,
2.02549,2,
2.85713,5,
2845,1,
2.90734,2,
2.8035,3,
2.34537,3,
2.65894,1,
2.84579,4,
2.96166,3,
2.73409,5,
2.85457,4,
2.33813,3,
2.82507,2,
2.98694,3,
2.98878,1,
2.46795,4,
2.9741,5,
2.35221,5,
2.47489,1,
1.2677,5,
2.93044,4,
2.87028,5,
2.84998,1,
2.75875,1,
2.97226,4,
2.79053,2,
2.50277,3,
2.94216,3,
2845,2,
2.92172,2,
2.8362,2,
1.8867,2,
2.6566,3,
2.77465,5,
2.95537,3,
2.86169,5,
2.52818,4,
2.44455,4,
2.50336,3,
2.45706,3,
2.9821,4,
2.91403,2,
2.06624,5,
2.34932,2,
2.00916,4,
2.71232,2,
2.61156,3,
2.86353,1,
2.24313,4,
2.01463,3,
2.63027,4,
2.18984,4,
1.22288,5,
2.29458,2,
2.90362,5,
2.83863,3,
2.63424,4,
2.36959,5,
2.78065,3,
1.92975,2,
2.80162,5,
2.69498,1,
2.24609,3,
1.37989,1,
2.65282,4,
2.43857,5,
2.98579,5,
2.93836,3,
2.85711,3,
2.79867,3,
2.69605,1,
2.15611,2,
2.39178,1,
2.93907,4,
2.63919,4,
2.76621,1,
2.56989,3,
2.46477,2,
2.62899,1,
2.9516,4,
2.08771,1,
2.86079,4,
2.14124,4,
2.64065,1,
2.22768,3,
2.70228,4,
2.89157,1,
2.79292,5,
2.48379,2,
2.28789,4,
2.82627,3,
