tiempo,rank,max
1.92647,3,7.4668
2.65768,3,
2.77587,1,
2.57292,3,
2.78934,1,
2.74681,1,
2.18142,5,
2.99169,1,
1.66243,2,
2.58429,4,
2.48398,2,
2.91349,3,
2.37359,3,
2.25245,2,
2.7089,4,
2.89493,3,
2.96658,2,
2.24696,5,
2.79382,3,
2.75607,1,
2.71254,2,
2.82548,1,
2.97405,1,
2.63205,1,
2.86574,3,
1.24113,1,
1.79094,3,
2.17228,2,
2.81626,2,
2.17975,1,
2.29963,3,
2364,3,
2.96246,1,
2.54108,2,
2.3916,4,
2.76877,1,
2.45383,4,
2.85913,3,
2.7595,1,
2.92741,4,
2.64304,4,
2.78973,2,
2.48915,4,
1.82403,1,
2.23103,4,
2.70591,3,
2.51145,2,
2.18394,1,
2.96716,2,
2.97967,4,
2.31742,2,
2.81127,3,
2.7825,5,
2.53232,4,
2.80296,2,
2.41946,4,
2.68468,1,
2.6819,1,
2.97989,2,
2.85414,3,
2.95463,5,
2.45321,4,
2.50102,4,
2.26044,2,
2.69814,2,
2.46564,2,
2.79184,3,
2.88141,4,
1.95116,4,
2.96651,5,
2.81067,4,
2.60432,1,
2.56609,1,
2.92648,1,
2.13052,5,
2.90503,1,
2.74941,2,
2.75184,4,
2.8642,4,
2.71651,2,
2.87828,5,
2.38699,5,
2.54488,4,
2.68191,1,
2.95073,5,
2.81684,5,
2.80615,2,
2.99543,2,
2.76064,2,
2.98878,1,
1.60742,4,
2.81786,1,
2.9595,2,
2.8345,1,
2.72383,5,
2.77316,1,
2.94009,3,
2.79162,1,
2.93303,4,
2.10552,1,
