tiempo,rank,max
2.93159,5,7.00606
2.80956,5,
2.68949,2,
2.77952,2,
2.98047,1,
2.61185,4,
2.3254,4,
2.98635,1,
2.95083,1,
2.34621,2,
2.81349,4,
2.2728,5,
2.43904,5,
2.55069,4,
2.67014,2,
2.40171,4,
2.99937,4,
2.62912,4,
2.59483,3,
1.84541,2,
2.70509,3,
2.9791,4,
2.32022,3,
2.92744,4,
2.54688,4,
2.73554,3,
2.69341,4,
2.84276,1,
2.36355,5,
2.86309,3,
2.51521,1,
2.29503,5,
2.3147,4,
1.41482,3,
2.83979,2,
2.97242,4,
2.52564,2,
2.69501,4,
2.1189,1,
2.74318,4,
2.71444,2,
2.68355,3,
2.81506,5,
2.95921,2,
2.82897,1,
2.74108,1,
2.99508,2,
2.65557,2,
2.40936,5,
2.28219,4,
2.32385,3,
2.65814,4,
2.84865,5,
2.11433,4,
2.68581,2,
1.84265,4,
2.95787,4,
2.89928,1,
2.47167,4,
1.89641,2,
2.51518,5,
2.94588,4,
2.86859,3,
2.78863,4,
2.36853,5,
2.4304,4,
2.76462,4,
2.74931,2,
2.16879,2,
2.94358,3,
2.5458,1,
2.73556,1,
2.86979,5,
2.91028,2,
2.37877,1,
2.87961,2,
2.41541,5,
2.83157,3,
2.69449,5,
2.83346,1,
2.44799,1,
2.94739,4,
2.89598,2,
2.62459,1,
2.88371,3,
2.83015,3,
1.4717,1,
2.95629,2,
2.91094,1,
2.71795,5,
2.85168,4,
1.51423,2,
1.99303,2,
2.22753,3,
2.93417,4,
2.45949,3,
2.87959,3,
2.71957,4,
2.29745,1,
1.71779,5,
