tiempo,rank,max
2.33983,5,8.48047
2.85736,4,
2.75983,2,
2.20586,2,
2.52724,3,
2.91869,5,
2.57744,3,
2.99775,5,
2.93645,2,
1.52514,1,
2.65957,3,
2.96901,1,
2.65038,2,
1.89219,5,
2.51767,3,
1.92763,4,
2.91457,2,
2.45239,2,
2.40799,4,
2.77112,2,
2.80704,4,
2.90212,5,
2.42063,4,
2.23407,1,
2.99591,1,
1.65608,2,
2.66372,1,
2.9132,5,
2.90386,5,
2.93228,5,
2.44427,1,
2.98078,3,
1.48763,1,
1.56503,1,
2.16458,4,
2.90352,2,
2.4052,2,
1.8557,1,
2.92276,4,
2.90909,3,
2.89702,1,
2.3036,2,
2.5703,3,
2.80999,4,
2.03052,1,
2.45476,5,
2.55631,5,
2.64608,4,
1.63718,2,
1.7676,2,
2.79437,2,
2.52325,3,
2.95862,4,
2.82888,2,
2.85942,2,
2.95399,2,
1.50123,2,
1.26638,5,
2.7757,4,
1.6745,1,
2.94907,3,
2.87945,5,
2.87142,5,
2.37647,4,
1.97079,1,
2.65983,1,
1.91243,5,
2.74727,1,
2529,4,
2.69916,3,
2.99058,2,
2.80673,2,
2.9731,1,
1.75678,2,
2.74162,1,
2.29698,4,
1.97452,1,
2.81872,4,
2.61304,3,
2.57912,4,
2.93264,3,
2.96532,4,
2.81477,3,
2.73884,1,
1.97902,5,
2.56354,4,
2.83421,1,
2.68689,5,
2.92033,4,
2.32188,4,
2.77509,2,
2.16406,1,
2.95642,5,
2.49596,2,
2.76197,5,
2.32559,3,
2.5938,4,
2.62937,1,
2.9092,1,
2.59955,1,
