tiempo,rank,max
2.85098,6,10.0652
2.63042,4,
2.51929,6,
2.88339,3,
2.99578,1,
2.71536,4,
1.92438,3,
2.68272,4,
2.97731,6,
2.88906,1,
2.89839,1,
2.17506,3,
2.84076,1,
2.83175,1,
2.53063,4,
2.72933,1,
2.89429,4,
2.72898,6,
2985,4,
2.03567,1,
2.86523,6,
2.94012,7,
2.96671,7,
2.33976,7,
2.68217,1,
2.66023,5,
2.81559,7,
2.78575,5,
2.09834,6,
2.48355,4,
2.82312,2,
2.96284,3,
2.10944,4,
2.64347,4,
2.84085,3,
2.76221,2,
2.84255,3,
2.82667,7,
2.3746,5,
2722,1,
2.79722,6,
2.90182,2,
2.9065,1,
2.65967,3,
2.18555,2,
2.78181,6,
2.83055,1,
2.94171,1,
2.5683,1,
2.41824,2,
2.36496,6,
2.83158,3,
2.58963,1,
2.95452,6,
2.88663,6,
2.67526,6,
2.85761,3,
2.56806,2,
2.58416,3,
2.71788,1,
2.6107,1,
2.98157,5,
2.75299,4,
2.94471,6,
2.79994,1,
2.86911,7,
2669,3,
2.49281,4,
2.71882,7,
2.9341,5,
2.87754,1,
2.76403,2,
2.92827,7,
2.78971,1,
1.86275,6,
2.7459,1,
2.98408,7,
2.99985,4,
2.70405,1,
3.0022,1,
2.68308,5,
2.81642,2,
2.76356,1,
2.96014,6,
2.69389,4,
2.80773,7,
2.94327,4,
2.69504,2,
2.66535,4,
2.67171,7,
2.98838,3,
2.76834,1,
2.32927,2,
2.33286,5,
2.61691,1,
2.8842,5,
2.36107,5,
2.72485,1,
2.4625,7,
1.97975,3,
