tiempo,rank,max
2.72277,7,13.3707
2.72203,3,
2.71853,6,
2.3392,6,
2.69728,7,
2.53103,5,
2.90411,7,
2.46656,5,
2.8548,2,
2.60717,4,
2.97066,3,
2.57131,4,
2.85814,3,
2.75872,3,
2.78841,6,
2.99229,3,
2.94434,6,
2.95105,5,
2.84032,7,
2.90452,2,
2.97185,3,
2.73455,3,
2.83387,1,
2.91469,1,
2.95866,5,
2.85049,3,
2.77145,4,
2.8029,6,
2.69622,2,
2.57919,5,
2.7022,2,
2.74331,5,
2.89818,5,
2.80991,2,
3.00723,5,
3.00039,1,
2.98288,7,
2.94945,6,
2.28459,3,
2.8246,2,
2.03526,1,
2.84086,1,
2.1875,3,
2.87502,6,
2.86746,5,
2.92713,6,
2.12147,6,
2.83124,7,
2.65172,1,
2.99793,3,
2.81354,3,
2.98535,3,
2.73453,3,
2.9439,1,
2.18747,5,
2.36207,4,
2.89816,3,
2.84567,5,
2.95171,7,
2.82521,7,
2.88512,4,
2.70423,6,
3.00246,6,
2.58913,1,
2.84769,1,
2.36486,7,
2.57657,1,
2.57045,1,
2.60058,7,
2.43838,2,
2.57309,4,
2.58897,5,
2.90838,5,
2.94711,1,
2.89853,1,
2.79114,5,
2.67151,3,
2.88791,6,
1.74381,7,
2.70569,3,
2.71112,3,
2.82543,2,
2.89736,2,
2.91075,7,
2.87624,3,
2.87491,7,
2.72108,3,
2.9929,1,
2.72318,6,
2.8678,6,
2.4242,1,
2.90504,5,
2.57425,6,
2.81051,1,
2.69204,1,
2.66452,4,
2.94117,5,
2.34468,4,
2.74523,2,
2.7994,6,
