tiempo,rank,max
2.79949,4,10.9421
2.53362,5,
2.78523,3,
2.96466,4,
2.73334,2,
2.74809,2,
1.79389,5,
2.44986,3,
2.83647,2,
2.89275,3,
2.69415,6,
2.09216,2,
2.79672,5,
2.47105,7,
2.26806,3,
2.61068,3,
2.34563,2,
2.47564,1,
2.99247,4,
2.95524,2,
2.74401,7,
2.21888,4,
2.7132,7,
2.25125,7,
1.99585,3,
2.9769,4,
2.17467,7,
2.86303,2,
2.82984,2,
2.84557,4,
2.9487,2,
2.6886,5,
2.97967,5,
2.83561,1,
2.99726,6,
2.22304,5,
2.61487,4,
2.9578,7,
2.53537,6,
2.71325,6,
2.60838,1,
2.59153,4,
2.83474,6,
2.75993,7,
2.73379,3,
2.66273,1,
2.82939,6,
2.83722,5,
2.82408,3,
2.95102,7,
2.97525,3,
2.9154,6,
2.66539,5,
2.38049,4,
2.39762,5,
2.74329,1,
2.94971,3,
2.42765,3,
2.80786,7,
3.00795,4,
1.99472,5,
2.89338,1,
2.91728,2,
2.38776,6,
2.82438,6,
2.02608,2,
2.88831,7,
2.81698,3,
2.7692,6,
2.47313,2,
2.5528,5,
2.79431,6,
2.99286,3,
2.66096,3,
2.43665,3,
2.85148,7,
2.8352,2,
2.76676,2,
2.89512,4,
2.79837,6,
2.56337,5,
2.96277,7,
2.83939,1,
2.78224,1,
1.90754,3,
2.88927,1,
2.65526,2,
2.94869,2,
2.53197,2,
2.96366,7,
2.91812,4,
2.56188,2,
2.68897,6,
2.88835,3,
2.70922,1,
2.73997,4,
2.53563,1,
1.90778,7,
2.96791,5,
2.6883,2,
