tiempo,rank,max
2.9455,1,7.32252
2.88752,7,
2.98365,1,
2.72048,6,
2.69203,7,
2.87788,3,
2.91064,5,
2.54023,5,
2.66549,5,
2.59498,1,
2.03041,2,
2.74153,3,
2.82796,2,
2.93304,4,
2.77597,6,
2.91547,4,
2.76586,6,
2.93826,5,
2.93604,3,
2.98125,7,
2.8312,2,
2.87765,3,
2.6828,4,
2.9907,6,
2.77238,2,
2.93375,2,
2.63434,1,
2.41213,6,
2.35545,4,
1.51523,2,
2.84748,5,
2.94376,2,
2.45177,3,
2.73138,4,
2.4432,5,
2.79577,4,
2.98446,6,
2.80541,4,
2.84122,6,
2.84124,1,
2.81958,5,
2.95328,5,
2.51216,7,
2.98232,7,
2.23304,4,
2.75716,5,
3.00578,2,
2.56595,3,
2.70804,5,
2.75856,3,
2.93996,2,
2.92796,6,
2.89957,4,
2.26985,7,
2.93598,6,
2.71116,6,
2.99779,3,
2.86902,1,
2.68277,1,
2.18762,1,
2.83956,5,
2.94195,1,
2.84954,3,
2.36872,1,
2.94861,7,
1.65063,2,
2.07591,2,
2.71434,7,
2.9398,1,
2.31571,2,
2.74471,6,
2426,5,
2.82223,7,
2.98317,4,
2.95205,3,
2.86154,2,
2.70967,6,
2.81719,5,
2.65837,3,
2.97669,5,
2.88481,5,
2.38866,3,
2.19399,6,
2.88044,1,
2.96671,1,
2.70096,2,
2.94798,6,
2.54283,5,
2.45716,6,
2.80046,4,
2.60334,7,
2.84503,5,
2.65321,5,
2.98158,1,
2.72423,3,
2.86629,5,
2.77501,5,
2.81126,1,
2.8721,4,
2.96578,7,
