tiempo,rank,max
2.85621,3,14.7316
1.73319,6,
2.73699,5,
2.90874,4,
2.7203,7,
2.95312,5,
2.79923,7,
2.89267,5,
2.89731,2,
2.70896,2,
2.52681,5,
2.60491,4,
2.73987,3,
2.65384,3,
2.78094,3,
1.88889,4,
1.90038,1,
2.92794,3,
2.63347,3,
2.28755,4,
2.75961,5,
2.48753,7,
2.38633,3,
2.76159,5,
2.95708,6,
2.87087,5,
2.91309,7,
2.8009,5,
2.54259,4,
2.76829,5,
2.5259,5,
2.95614,7,
2.83728,7,
2.33762,4,
2.57327,4,
2.9534,2,
2.68612,7,
2.86152,6,
2.96057,7,
2.5249,3,
2.70218,3,
2.67164,6,
2.92003,6,
2.71928,7,
2.99253,3,
2.86543,4,
2.67168,6,
2.91256,2,
2.9282,6,
2.77212,5,
2.40486,4,
2.63215,6,
2.62458,6,
1.95139,7,
2.49451,3,
2.57276,6,
2.88965,2,
2.42918,1,
2.58976,3,
2.84774,3,
2.90868,1,
2.29263,6,
2.71121,6,
2.87837,6,
2.90118,1,
2.74807,1,
2.84795,5,
2.49599,7,
2.3442,3,
2.75036,7,
3.00518,5,
2.57263,7,
2.98025,1,
2.47907,3,
2.30489,2,
2.7933,2,
2.70667,5,
2.93578,6,
2.88087,6,
2.55685,5,
2.60741,5,
2.75382,1,
2.54023,7,
2.3905,2,
2.94274,6,
2.6711,2,
2.83481,3,
2.67212,4,
2.89503,2,
2.45911,6,
2.18405,7,
2.90988,3,
2.87042,4,
2.32824,7,
2.82832,5,
2.82751,6,
2.67327,6,
2.88432,6,
2.90236,6,
2.07218,1,
