tiempo,rank,max
2.51096,1,5.51394
2.93312,2,
2.94823,3,
1.42923,1,
2.57921,2,
2.43279,2,
1.35901,3,
1.79519,2,
2.1824,2,
1.89625,3,
2.03246,2,
2.87515,3,
2.05608,2,
2.28914,3,
2.40791,2,
1.15374,2,
2.09129,1,
2.59706,3,
2.69833,2,
1.90811,1,
2.58088,3,
2.04487,1,
2.97803,1,
2.18318,1,
2.76544,3,
1.44998,2,
2.73786,1,
1.22233,3,
1.81231,2,
2.99844,3,
2.18228,1,
2.83016,2,
2.50808,2,
1.67016,2,
2.16158,1,
2.40816,1,
1.78702,1,
2579,1,
1.86784,3,
2.81785,2,
1.33806,1,
2.4307,2,
2.3833,1,
2.58499,2,
1.27864,3,
2.99966,3,
1.93843,1,
2.57016,2,
2.94942,1,
2.93681,2,
2.89486,2,
2.23772,1,
2.57643,1,
1.32689,2,
1.43713,1,
2.82116,2,
2.29312,2,
1.76825,3,
1.79684,3,
2.93402,3,
1.76657,3,
2.78812,1,
1.40015,1,
2.59086,2,
2.85334,3,
1.30064,3,
2.61862,3,
2.55719,1,
2.65685,1,
2.10906,2,
2.91507,3,
2.81541,3,
2.97584,3,
1.7171,3,
2.0576,1,
2.06116,2,
2.0735,1,
1.89799,2,
2535,3,
2.03915,1,
1.90385,3,
1.65672,3,
1.36009,2,
2.69663,3,
2.41124,3,
2.21378,1,
2.11234,2,
2.73267,1,
2.90493,1,
2.19067,1,
2.91675,1,
2.79716,2,
1.99536,1,
2.7518,2,
2.84906,3,
2.83228,2,
2.58857,3,
2.46758,3,
2.32224,1,
2.19022,3,
