tiempo,rank,max
2.03005,1,4.7648
2.38262,3,
2.66214,2,
1.76222,3,
3.00008,2,
2.48173,2,
2.32204,1,
2.63788,2,
2.85827,1,
2.59709,1,
2.60747,3,
2.04423,2,
1.13511,3,
2.02188,1,
2.92509,2,
2.87189,1,
2.01344,3,
2.97332,3,
1.56905,2,
1.45936,3,
2.89684,2,
2.33626,2,
2.00635,1,
2.01156,1,
2.45723,2,
1.97695,2,
2.66279,2,
2.46346,3,
2.6255,3,
2.55916,3,
0.789789,1,
2.95075,2,
2.94193,1,
2.74978,2,
2.98852,1,
2.65044,1,
2.93628,3,
2.31047,1,
2.06147,3,
2.9498,1,
2.65296,2,
1.6852,3,
2.68482,2,
2.41672,1,
2.59819,3,
2.62612,2,
2.58305,3,
1.62786,3,
1.38299,3,
2.4987,1,
2.58712,3,
2.99917,1,
1.27983,2,
2.7904,2,
2.55816,3,
1.63281,1,
1.76721,2,
2.14077,3,
1.03402,1,
2.62768,1,
2902,2,
1.32369,1,
2.96035,2,
2.81833,1,
1.32589,3,
2.55493,1,
2.46862,1,
2.41831,2,
2.0621,2,
2.15042,2,
1.76617,3,
1.73126,2,
2.06795,1,
2.7763,2,
2.73827,1,
2.86919,2,
2.74632,1,
2.24118,2,
2.72141,3,
2.81133,2,
1.99051,3,
2.36814,1,
1.57388,3,
2.48186,3,
1.52661,2,
2.36754,1,
2.21766,2,
2.81007,2,
2.86128,1,
2.58372,2,
2.83366,3,
2.75398,1,
2.29075,1,
2.79629,2,
2.58854,1,
2.34315,1,
2.92492,2,
2.87899,3,
2.6426,2,
2.0033,2,
