tiempo,rank,max
2.85523,1,5.02666
2.91894,2,
1.9316,3,
2.01327,2,
2.45061,3,
1.32817,1,
2.57214,3,
2.39878,3,
2.81764,3,
2.56276,1,
2.45995,3,
2.17044,2,
2.66793,2,
1.73375,2,
2.92895,1,
2.41866,2,
2.69788,1,
2.12801,3,
2.61132,3,
2.20756,3,
2.36653,3,
2.69163,2,
2.99564,2,
2.16576,3,
1.61493,2,
1.48011,2,
1.31311,2,
2.62471,2,
2.43046,2,
2.62846,1,
1.9539,3,
1.79687,2,
2.60064,3,
2.85007,2,
2.07669,1,
2.05108,3,
1.36797,1,
2.45698,1,
2.02334,2,
2.93147,2,
2.65124,2,
2.54761,1,
2.1018,2,
2.42903,3,
2.18021,2,
2.97016,1,
1.75395,2,
1.77018,2,
1.80235,1,
2.72406,3,
2.85864,2,
1.68256,2,
0.996139,2,
2.90276,3,
2.52872,3,
2.11098,2,
2.47854,1,
2.87358,2,
2.41796,1,
1.56385,3,
2.61773,3,
2.85528,2,
2.09389,2,
2.38381,1,
2.72156,2,
2.97834,1,
1.30186,3,
2.85202,2,
2.96789,2,
2.52627,2,
2.78341,2,
2.61898,2,
2.95639,2,
1.90146,2,
2.22436,1,
2.13647,2,
2.51405,3,
1.5419,3,
2.44996,1,
1.9081,1,
2.40616,1,
2.76596,3,
2.95739,2,
2.57913,1,
2.66845,3,
2.01794,2,
2.30713,3,
2.76411,1,
2.95801,3,
2.38774,2,
1.78298,2,
2.59201,3,
2.25926,2,
2.62449,3,
2.54054,1,
1.98072,2,
2.81309,2,
2.62818,3,
2.52252,3,
2.97783,3,
