tiempo,rank,max
2.54635,3,8.00516
2.60016,2,
2.03206,3,
2.80359,1,
2.94136,2,
2.77565,1,
2.38252,3,
2.1144,3,
2.50428,2,
1.60123,1,
2.1985,2,
2.41554,3,
2.52527,2,
2.82214,1,
2.10154,3,
2.28773,1,
2.1799,1,
2.27142,1,
2.75492,1,
2.17477,2,
2.96488,3,
2.29087,1,
2.77765,2,
2.95477,2,
2.05031,1,
2.3525,3,
2.30521,3,
2.8081,3,
0.776837,3,
2.10226,3,
2.29752,1,
2.82296,3,
2.78583,3,
2.89429,1,
2.27129,3,
1.32554,2,
2.66985,1,
2.69878,1,
2.77596,2,
2.95411,1,
2.65935,3,
1.97433,2,
2.1985,1,
2.83126,3,
2.4955,2,
2.92665,1,
2.45255,1,
2.74362,2,
2.98391,2,
2.36702,2,
1.93465,2,
1.96623,2,
2.78909,2,
2.95501,1,
1.96769,1,
2.77902,3,
1.15629,1,
2.58677,2,
2.60336,3,
1.42915,3,
2.37919,1,
2.81803,1,
2.35504,1,
2.2387,2,
2.71221,1,
1.52674,2,
2.10505,1,
2.3983,1,
2.93785,1,
2.83998,2,
2.35232,1,
1.74109,2,
2276,3,
2.10686,3,
2.81208,2,
1.95241,1,
2.8882,2,
2.10462,2,
1.31063,1,
2.88837,2,
2.59484,1,
2.50405,2,
1.85451,2,
1.50769,3,
2.18914,1,
1.67034,3,
2.22982,2,
2.86169,1,
2.8947,2,
1.71068,1,
2.18328,3,
2.45853,3,
1.54493,1,
2.96794,3,
2.09466,1,
2.95907,2,
0.823891,2,
2.20367,3,
1.81554,2,
1.74948,3,
