tiempo,rank,max
2.70022,1,5.22647
2.78824,1,
2.37038,1,
2.48896,3,
2.87766,3,
2.70182,2,
2818,1,
1.65038,2,
2.69349,3,
2.71612,2,
2.81025,2,
1.94279,1,
2.77293,2,
2.81025,2,
2.6546,2,
2.61635,2,
1.95012,3,
2.97519,3,
1.59913,3,
1.75726,2,
2.85494,1,
2.60305,2,
2.1094,1,
1.6727,3,
2.92729,1,
2.37167,3,
2.47858,2,
2.85827,3,
2.29174,3,
2.18167,1,
2.58114,1,
1.90736,3,
2.13383,2,
1.96781,1,
2.3676,2,
1.64308,2,
1.45444,3,
0.902966,2,
2.79334,2,
1.59195,2,
2.13558,3,
2.6081,3,
2.91507,2,
2.89182,2,
2.42999,2,
2.5859,2,
2.77651,1,
1.8748,1,
2.46235,1,
0.86954,3,
2.90863,1,
2.70089,2,
2.8268,2,
2.78223,3,
2.8128,2,
2.70594,2,
2.17015,3,
2.30765,2,
2.79405,2,
1.46178,3,
1.85426,3,
1.40083,1,
2.86881,3,
2.45504,1,
2.86852,1,
1.89901,1,
2.65582,1,
2.75661,2,
2.2159,1,
1.47162,2,
2.5525,3,
1.54281,2,
2.63039,3,
1.92838,3,
2.23045,1,
1.75919,3,
2.3921,3,
2.02323,1,
2.62205,1,
2.86359,3,
2.36739,1,
2.54693,1,
2.47493,2,
2.37689,3,
2.93865,3,
2.39444,3,
1.35755,1,
2.62207,2,
2.34004,1,
2.67721,1,
2.76277,2,
2.80899,1,
2.5401,3,
2.93909,3,
2.53196,2,
2.97408,3,
2.90244,1,
1.93595,1,
1.94913,2,
2.82839,2,
