tiempo,rank,max
2.66746,2,1.43373
2.73398,1,
2.92425,2,
2.75511,1,
2.4152,2,
1.71583,2,
2.98498,1,
2.65398,2,
2.69654,1,
2.04662,2,
1.56837,1,
2.77051,2,
1.12164,1,
2.64973,1,
2.2202,1,
1.96325,1,
2.06301,1,
1.8052,2,
1.97782,2,
2.84289,1,
2.81054,2,
1.11954,1,
2.74334,2,
2.94834,2,
2.79755,1,
2.97848,2,
1.37264,2,
2.41492,2,
1.22146,1,
2.38042,1,
1.83734,1,
2.9181,2,
2.82965,2,
0.990902,1,
1.94007,2,
2.26111,2,
2.20203,2,
1.28815,1,
1.93133,2,
2.23273,2,
2.72936,1,
2.82156,2,
2.47138,1,
2.68504,2,
2.89424,2,
1.69148,1,
2.34673,1,
0.921289,1,
2.82113,1,
2.86,1,
1.70346,2,
2.13034,2,
2.36065,2,
1.44671,2,
2.61768,1,
2.96728,2,
1.42513,2,
2.96754,2,
2.64194,1,
1.67579,2,
2.50169,1,
2.9278,2,
2.71319,1,
1.6322,1,
2.00271,1,
1.01639,1,
2.74711,2,
2.59966,2,
1.82084,1,
1.67836,2,
2.86422,1,
1.56639,1,
1.51612,2,
2.33552,1,
2.95244,2,
2.05116,1,
1.35004,2,
1.29649,1,
2.4887,1,
0.864299,1,
2.10282,2,
2.99697,2,
2.28379,2,
1.63572,1,
1.45995,2,
1.37864,2,
1.92882,1,
2.38501,2,
1.34602,2,
1.58704,1,
2.30989,1,
1.98617,2,
2.58247,1,
2.1707,2,
2.47218,2,
1.58508,1,
2.53927,1,
2.2192,2,
1.17018,1,
2.85611,2,
