tiempo,rank,max
2.15749,1,3.41862
2.66356,1,
2.99246,2,
1.85113,1,
1.97624,2,
2.72394,2,
2.76151,1,
2.30284,1,
2.8722,1,
1.79661,1,
1.72809,1,
2.03681,2,
2.58194,1,
1.59936,1,
1.12199,2,
2.62642,1,
2.64185,2,
2.83912,2,
1.51119,2,
2.30442,2,
2.77887,1,
2.40555,2,
2.57069,1,
2.97051,2,
2.43399,2,
1.33528,1,
2.97613,1,
2.65587,1,
2.30049,1,
2.22746,1,
2.6209,2,
1.96125,2,
1.89092,1,
2.62957,2,
2.82524,1,
2.31396,2,
2.35333,2,
2.58668,1,
2.51906,1,
2.87537,1,
2.85236,2,
2.55489,2,
2.66161,2,
2.40585,2,
2.3627,1,
0.783512,2,
1.80932,2,
2.93293,2,
1.60593,1,
2.83675,2,
2.31365,1,
2.21887,2,
2.24224,2,
1.88424,1,
2.18927,2,
2.63247,1,
2.73576,1,
2.55787,2,
2.30459,1,
2.03616,1,
2.79629,1,
1.88326,2,
2.99394,1,
1.70342,1,
2.27354,1,
2.81911,1,
1.91961,1,
2.27675,1,
2.54935,2,
1.45495,1,
2.16833,1,
2.40165,2,
2.21821,1,
2.33946,1,
1.80736,2,
1.58077,1,
2.63064,1,
1.42654,1,
2.89003,1,
1.62354,2,
2.96962,2,
2.21994,1,
2.13737,1,
2.22808,2,
1.4876,2,
2.71376,1,
0.920448,2,
2.8059,2,
2.12202,2,
2.68286,2,
2.39227,1,
2.50973,2,
1.5824,2,
2.40245,1,
1.7984,1,
2.61139,2,
2.4468,2,
0.79101,2,
2.3169,1,
1.99604,2,
