tiempo,rank,max
1.64478,1,2.46558
2.25559,2,
1.8301,2,
2.37196,2,
1.91064,2,
1.8619,1,
2.25107,2,
1.44035,2,
2.28893,2,
2.85348,1,
2.32182,1,
2.38691,1,
2.50199,1,
1.26609,2,
2.34116,2,
2.26231,2,
2.93368,2,
2.87085,1,
2.46462,1,
2.38559,1,
2.45879,1,
2.80213,2,
2.31905,1,
1.65742,2,
2.57209,2,
2.99622,2,
2.22306,2,
1.20339,1,
2.71324,2,
2.06904,1,
1.51185,2,
1.31274,1,
2.71848,2,
2.84184,2,
2.84471,2,
1.62901,2,
2.81603,1,
2.09567,2,
2.56926,2,
2.86589,1,
1.75945,2,
2.57641,1,
2.26904,1,
2.81516,2,
1.85306,2,
2.64253,1,
2.0937,2,
2.09375,1,
2.52963,1,
2.2553,2,
1.49555,1,
1.9883,1,
2.07369,2,
1.33477,2,
2.64028,2,
2.41129,1,
1.34724,2,
2.69955,1,
2.10023,2,
2.91998,1,
2.32613,2,
0.75112,1,
1.53315,2,
2.0445,2,
2.97001,2,
2.17503,1,
2.07079,1,
1.52896,2,
2.98964,2,
2.75889,2,
1.90942,2,
1.94139,1,
1.91806,1,
2.57939,2,
2.51131,1,
2.22282,1,
2.81467,1,
1.35481,1,
1.31645,1,
2.34419,1,
2.46192,2,
2.31193,1,
1.67174,2,
1.53547,2,
2.64268,1,
1.31188,2,
2.69739,2,
2.89459,1,
2.8388,1,
2.70581,1,
2.83084,1,
2.01739,2,
2.9568,1,
1.91743,2,
1.06172,2,
1.89565,2,
2.81138,2,
2.11363,1,
2.94086,2,
2.80094,2,
