tiempo,rank,max
2.31999,2,4.01295
2.26295,2,
1.61388,1,
2.83157,1,
2.58327,1,
2.58765,1,
2.6174,1,
1.29597,2,
0.875787,1,
2.56513,1,
2.97093,2,
0.962655,2,
2.92684,1,
1.45565,2,
2.16388,1,
2.44666,2,
2.12059,1,
2.63934,1,
2.86303,2,
1.40618,1,
1.96177,1,
2.91171,2,
2.94074,2,
0.894908,2,
2.9675,1,
1.87536,2,
2.42966,2,
2.22231,1,
2.65509,1,
1.46069,2,
1.61293,1,
2.89517,2,
2.7122,1,
2.74308,1,
2.85847,1,
2.53883,2,
2.34698,1,
2.64688,2,
2.78782,1,
2.72268,1,
2.07353,1,
0.821905,2,
2.90363,2,
2.26795,2,
1.79382,2,
2.29194,1,
2.65255,1,
2.94329,1,
2.63358,2,
2.88684,1,
1.34935,1,
0.909154,1,
1.52174,2,
2.72729,1,
1.26984,2,
0.797349,2,
2.99027,1,
1.37922,1,
2.45133,1,
2.66161,1,
2.19475,1,
1.08048,1,
2.68852,1,
1.9161,2,
1.81863,2,
2.56321,1,
1.47117,2,
2.6867,1,
2.05524,1,
1.80578,2,
2.93253,2,
1.14501,1,
2.14392,2,
2.85242,2,
2.64514,1,
1.96421,1,
1.82916,1,
2.31397,1,
1.90739,1,
0.77655,1,
2.46983,2,
2.75661,1,
1.18562,1,
2.47868,1,
2.71695,2,
1.83996,2,
2.70771,1,
2.50666,1,
2.64804,1,
2.97289,2,
2.65288,2,
1.85905,1,
2.75569,1,
2.83618,2,
2.18049,2,
1.88884,2,
2.13486,2,
1.50049,1,
2.78196,1,
2.99114,1,
