tiempo,rank,max
1.83921,1,3.34173
2.83884,1,
2.90542,2,
2.89991,2,
2.76414,1,
2.17513,1,
2.10387,1,
0.638869,2,
2.94851,2,
1.83895,2,
2.73823,2,
1.79985,1,
2.28248,1,
2.55718,1,
2.98361,2,
2.97468,2,
2.56477,1,
2.3317,1,
2.89848,2,
1.1169,1,
2.46355,1,
2.71936,1,
2.55504,2,
2.95783,2,
2.04621,2,
2.64784,1,
1.6508,2,
2.85035,2,
2.54957,2,
2.95357,2,
1.93907,2,
2.74824,2,
2.60431,2,
1.86075,2,
2.6643,2,
1.50684,2,
2.88372,2,
0.934144,1,
1.64565,2,
2.92318,1,
2.1954,2,
1.38379,2,
1.72291,1,
2.47818,2,
2.78546,1,
1.09363,2,
2.45274,2,
2.3665,1,
2.55779,1,
2.36744,2,
2.99963,1,
2.05784,2,
2.59198,2,
1.51977,2,
2.03192,2,
2.4299,1,
2.68058,2,
2.46409,1,
1.50468,2,
2.53929,1,
1.1385,1,
2.96001,2,
2.80571,1,
2.75657,2,
2.55705,1,
1.65873,2,
2.92888,1,
1.98241,1,
2.08637,1,
2.40881,2,
1.92189,1,
1.21054,2,
1.46277,1,
2.1627,2,
1.04843,1,
1.24812,1,
2.77256,2,
2.67393,2,
2.39849,2,
2.92845,1,
2.05767,2,
1.37958,2,
1.96595,1,
2.04711,1,
2.41558,2,
2.26479,2,
2.80391,2,
2.1898,1,
2.79516,1,
2.33053,1,
1729,1,
2.63222,2,
1.65347,1,
2.85313,2,
2.58514,1,
2.62162,2,
2.68679,1,
2.5139,1,
2.70908,1,
1.77308,1,
