tiempo,rank,max
2.62427,4,7.03154
2.28737,3,
2.59933,1,
2.23183,1,
2.41352,3,
2.38307,4,
1.15299,1,
2.94059,2,
2.00908,4,
2.07985,2,
1.73853,2,
1.81513,2,
2.68698,2,
2.71256,1,
2.92835,3,
2.95915,2,
2.92767,4,
2.19735,4,
2.19017,3,
1.4362,1,
2.82675,4,
2.48911,1,
2.98432,4,
2.89388,3,
2.25265,4,
2.77847,3,
2.17365,3,
2.42272,4,
2.97495,1,
2.99366,1,
2.54004,3,
2.70023,2,
2.70657,3,
2.89455,3,
2.98848,2,
2.59241,1,
1.04398,1,
2.98989,2,
1.36236,3,
2.55983,4,
2.24641,1,
2.30448,4,
2.16506,1,
2.47628,3,
1.1021,1,
2.08196,3,
2.99269,1,
2.94949,4,
2.81709,3,
2.97933,3,
2.97298,4,
2.22667,3,
2.86145,1,
2.95722,4,
2.12045,3,
2.29384,2,
2.83374,1,
1.89824,1,
2.66569,3,
2.80856,1,
2.64073,4,
2.22197,3,
2.74583,4,
2.89026,2,
2.68856,1,
2.20727,3,
2.45111,1,
2.54495,3,
2.69973,3,
2.92028,1,
2.05751,2,
2.86971,1,
2.65153,3,
2.53561,4,
1.43065,2,
2.85028,3,
2.29874,2,
2.66251,2,
2.12245,2,
2.80084,1,
1.76985,3,
2.6238,2,
2.92095,3,
2.34734,2,
2.21357,2,
2.7155,2,
2.26868,4,
1.96869,4,
2.86795,3,
2.98722,1,
2.76025,2,
2.19495,2,
2.84061,3,
2.90594,3,
2.54968,3,
2.90149,2,
2.72874,4,
2.62185,3,
1.53371,3,
2.31894,4,
