tiempo,rank,max
2.82249,1,5.90285
2.64696,3,
2.86528,4,
2.1907,2,
2.74998,4,
1.97636,1,
2.77948,1,
2.01325,1,
1.78258,3,
2.61183,4,
2.1061,4,
2.37611,3,
2.17517,1,
2.50843,4,
1.4844,3,
2933,2,
2.99824,1,
2.72676,1,
2.74537,3,
2.95755,2,
2.72934,2,
2.59895,1,
2.54656,1,
1.9537,1,
2.90643,1,
2.22912,2,
2.64028,2,
2.9154,3,
2.3855,1,
1.83461,4,
2.20679,2,
2.22416,1,
1.9818,1,
2.88288,4,
2.45969,1,
2.88157,3,
2.73649,1,
2.50006,2,
2.99305,3,
2.75636,1,
2.65164,1,
2.06912,1,
2.93872,3,
2.38977,2,
2.74711,4,
2.77302,4,
2.33901,2,
2.58261,1,
2.30158,2,
2.52399,2,
2.42174,4,
2.64087,1,
2.55461,3,
2.86965,4,
2.68627,4,
2.43097,3,
2.77986,3,
2.8372,1,
2.3463,3,
2.93195,1,
1.9787,2,
2.67204,2,
2.20766,4,
2.99197,2,
2.93236,4,
2.1259,2,
2.7328,4,
2.5965,3,
2.88735,4,
2.00873,2,
1.42868,2,
2.94487,2,
2.23024,1,
1.75755,1,
2.35088,2,
2.79137,3,
2.97308,1,
2.84927,1,
2.7354,2,
2.36385,2,
2.29045,1,
2.4557,4,
2.84061,4,
2.02831,4,
2.32525,4,
2.54314,4,
2.79315,1,
2.11715,3,
2.45752,3,
2.94965,3,
2.76654,2,
2.45897,1,
2.29784,3,
2.03446,3,
2.7114,4,
2.95862,1,
2.98972,3,
2.53143,2,
2.62267,4,
2.77535,3,
