tiempo,rank,max
2.55644,3,7.87929
2.80892,3,
2.86966,2,
2.91591,4,
2.74537,4,
2.82887,1,
1.53618,4,
1.72252,4,
1.63602,4,
2.08302,1,
2.34444,1,
1.98631,1,
1.92273,3,
2.53689,2,
2.74052,3,
2.40883,2,
1.9832,2,
2.8986,1,
2.83646,4,
2.29267,3,
2.61613,2,
2.32984,3,
2.97225,3,
2.54816,1,
2.58043,2,
2.46876,2,
1.90263,1,
2.51028,4,
2.38628,2,
1.78769,1,
2.29185,4,
2.47997,4,
2.89786,3,
2.13128,2,
2.46584,3,
1.93987,3,
2.96587,1,
1.7949,1,
2.39831,4,
1.82793,2,
2.07349,4,
2.12453,2,
2.48755,1,
2.53001,2,
2.11417,1,
2.32983,2,
2.95247,4,
2.94474,1,
2.5238,3,
2.80521,4,
2.09318,4,
2.96622,2,
2.57124,1,
1.13129,3,
2.42957,3,
2.83475,2,
2.79379,2,
1.11632,4,
2.29007,4,
2.56906,4,
2.1807,1,
2.82014,2,
2.63387,2,
2.89196,4,
2.83397,4,
2.7894,1,
2.57636,1,
2.50059,1,
2.06066,3,
2.98236,4,
1.83484,4,
2.8835,2,
2.15261,2,
2.68931,4,
2.81048,4,
2.24206,1,
2.86763,3,
2.76285,4,
2.80337,3,
2.39134,3,
2.98018,1,
2.52073,1,
2.25498,2,
2.86,3,
2.5647,1,
2.44771,3,
2.97752,3,
2.56901,4,
2.91387,3,
2.21639,1,
2.13791,4,
2.85101,1,
2.14967,3,
2.94442,2,
2.30997,2,
2.71163,2,
2.54697,1,
1.38634,4,
2.99614,4,
1.81588,2,
