tiempo,rank,max
2.98457,3,4.86587
1.29416,1,
2.82782,2,
2.35238,4,
2.49533,4,
2.48507,3,
1.95829,2,
2.68633,2,
2.04642,3,
2.60385,1,
2.76673,1,
2.71615,2,
2.79682,2,
2.92181,3,
2.15863,4,
2.33046,3,
2.48736,3,
2.90141,3,
2.64949,1,
2.99206,4,
2.40879,3,
1.8842,3,
2.24446,3,
2.72746,1,
2.5845,3,
2.87166,4,
2.95987,3,
2.30817,4,
2.63888,1,
2.70234,4,
2.04022,4,
2.48915,1,
2.76992,4,
2.57021,3,
2.97258,2,
2.90605,1,
2.07151,3,
2.91934,3,
2.91437,3,
2.11453,4,
2.43916,1,
2.96664,4,
2.5913,1,
2.68237,1,
2.89823,2,
2.66959,2,
2.79314,4,
2.17351,4,
2.06719,2,
2.94107,1,
2.16546,4,
2.09066,4,
1.90879,3,
2.73069,4,
2.77778,1,
2.63756,2,
2.60215,4,
2.33779,2,
2.54943,4,
2.8632,1,
1.73366,1,
1.9533,3,
2.3522,1,
2.87405,1,
2.79848,1,
0.904088,1,
2.77999,1,
2.81906,1,
2.33843,2,
2834,1,
2.80024,2,
2.66634,1,
2.9072,2,
2.7157,1,
2.71677,3,
2.82168,2,
2.9266,1,
2.74489,2,
1.82063,2,
2.72623,2,
2.58113,1,
2.52557,4,
2.09589,3,
2.07023,3,
2.6334,2,
2.45389,4,
2.2804,1,
1.8908,4,
2.98484,3,
2.93715,4,
2.60404,2,
1.97466,2,
1.79614,1,
2.80438,1,
2.99778,3,
2.48261,2,
2.74128,3,
1.43844,2,
2.1118,4,
2.78519,2,
